"player","white_games","black_games","total"
"jmperezpalencia","252","251","503"
"Californiaberba","214","212","426"
"CSSML-NDSMD","206","211","417"
"paceinsuflet","205","203","408"
"minna96","200","201","401"
"flaminco588","219","179","398"
"Till__I_collapse","201","197","398"
"vladimir_123456","192","192","384"
"vit197","190","192","382"
"InneKonto","184","187","371"
"ChessWARshiper","189","181","370"
"Drunk-Magnus","182","186","368"
"VladBond777","182","182","364"
"g_kost52","178","181","359"
"grandbatil","179","180","359"
"Greanfield","175","176","351"
"maiaonly","159","178","337"
"Luwelyo","169","166","335"
"Bad_Santa","165","165","330"
"chessclub1983","165","165","330"
"turkonegro","166","162","328"
"MaximuusThegreat3099","161","165","326"
"serhiishmelov","167","159","326"
"PushkinoLider","159","161","320"
"sarunasE2","157","161","318"
"KingRichd_3rd","160","156","316"
"PieceTalks","157","159","316"
"OrangeMjau","158","157","315"
"blasALANGUIA_ESIC","153","158","311"
"StupidChess13","156","154","310"
"saudade","157","151","308"
"Brunovy60","153","154","307"
"invicible","152","149","301"
"Dangarov","149","149","298"
"vokilahkd","146","148","294"
"travel_guy","148","145","293"
"Pucky_80","147","145","292"
"sprexyfd","144","145","289"
"PAQUETOVIC","142","141","283"
"ricciolargo","140","142","282"
"pilsnerhell","141","139","280"
"Nekvalitet","137","141","278"
"Fedor_Afanasiev","138","139","277"
"pzh_dmt","142","134","276"
"SamadAABI","137","139","276"
"MunchySmallz","142","133","275"
"GiuocoPianoSemo","136","138","274"
"Necati_Korbahtli","134","133","267"
"anujaaa","133","133","266"
"dionel53","135","131","266"
"Spyke24","134","132","266"
"leny1983","132","133","265"
"jubei369","133","131","264"
"decidement","130","132","262"
"Velsky25","132","129","261"
"zorroamigo","131","129","260"
"Dismoitout","131","127","258"
"OvyVCF","128","129","257"
"PathOfNerd","128","129","257"
"trevrck","127","125","252"
"sofadecor","128","123","251"
"Nasserad","124","126","250"
"Tetyana512","125","125","250"
"TheresaLorenzo","124","125","249"
"AgsiKapin12","124","124","248"
"Iznogood2022","127","121","248"
"jacktower","123","124","247"
"benbugarin06","124","122","246"
"M_C_Scipio","123","122","245"
"doreality1991","121","123","244"
"Fazilet11kaz","121","121","242"
"Slimfinger","122","119","241"
