"player","white_games","black_games","total"
"maia1","13","40","53"
"fredooko","21","22","43"
"newarcadia","19","20","39"
"maia9","18","20","38"
"Sy001","16","21","37"
"hiyayako","17","17","34"
"AVD2001","30","3","33"
"JohnSmith10","16","17","33"
"mubarizs","16","17","33"
"sargon-1ply","10","23","33"
"Sasha2203","16","17","33"
"cheetah6996","15","17","32"
"monat","17","15","32"
"Josehuamani","17","14","31"
"miko47","16","15","31"
"MKZOON12","16","14","30"
"Ceberus03a","28","1","29"
"manojyadav85","13","16","29"
"Papitotoin","15","14","29"
"burdano","12","16","28"
"DumaBerty","15","13","28"
"G24_de_tour","13","15","28"
"LisaKodee","14","13","27"
"araik1937","11","15","26"
"DiOrEu","12","14","26"
"helikopter3369","13","13","26"
"Jerrico10","11","15","26"
"JosepSauraTanco","13","13","26"
"kent-75","12","13","25"
"Ksenia150115","11","14","25"
"Roman-Moroz","14","11","25"
"ytfjds66gfg","13","12","25"
"cristianpirina","12","12","24"
"USSR_71","12","12","24"
"artur1964","11","12","23"
"Chessgamer77","11","12","23"
"rezagandomkar","11","12","23"
"Sardela","12","11","23"
"alex_tiger","11","11","22"
"AZTECA-MEXICO","10","12","22"
"Chema39","13","9","22"
"Kiance","13","9","22"
"Okarate1","11","11","22"
"RoberMol","10","12","22"
"sergei48","12","10","22"
"Suendenbabel","12","10","22"
"Horatio1","11","10","21"
"JayS-Duck","10","11","21"
"juli40","10","11","21"
"Madduwattas","10","11","21"
"Onitix","12","9","21"
"Paolo_Boi-mode","10","11","21"
"ZaiTchichess","10","11","21"
"achinthya01","10","10","20"
"brucebasara","9","11","20"
"cedric74","9","11","20"
"piffolopuf","12","8","20"
"seniyor","12","8","20"
"Ubald75","12","8","20"
"UlDol","11","9","20"
"Yakuza333","11","9","20"
"Almeria25","6","13","19"
"BigEddy","9","10","19"
"CHCHJON","11","8","19"
"crazyhofman","9","10","19"
"Django-D","11","8","19"
"Freedom999","10","9","19"
"JosephK1975","8","11","19"
"JoseRenan","10","9","19"
"konsumatoro","10","9","19"
"MAHA_SAI_S","10","9","19"
"nonoysamillano","9","10","19"
"Occhessadvanced","12","7","19"
"Pedro_saf","10","9","19"
"t2d","18","1","19"
"Bijinapally","11","7","18"
"Dmitriy_Humbly","7","11","18"
"Drummer57","11","7","18"
"emilos18","9","9","18"
"KeyserSoze67","8","10","18"
"Kvadratiy07","9","9","18"
"meduric-stanimir","9","9","18"
"pakanprouski","13","5","18"
"pugslybenny","8","10","18"
"s46jmroyo","9","9","18"
"Sergey1303","8","10","18"
"swimmer123","9","9","18"
"Vava1758955","9","9","18"
"amateur9869","8","9","17"
"Andres-De-Jesus14","9","8","17"
"Anselino","8","9","17"
"dehadan","9","8","17"
"dfarbstzbgs13412","7","10","17"
"em_6975","9","8","17"
"Gennadiy6364312","13","4","17"
"irwanto100","9","8","17"
"Iwan1985","8","9","17"
"maletti","9","8","17"
"Msulyok","8","9","17"
"NagarAndrey","14","3","17"
"OsaRassella","9","8","17"
"Sebaxe","10","7","17"
"Serhii_Makukha","8","9","17"
"strategicomplexity","9","8","17"
"Tarekiano00","8","9","17"
"Vintokryl","9","8","17"
"anatoltchirikov1951","9","7","16"
"AntonMakaveew","7","9","16"
"Bogatov1935","8","8","16"
"capobruno","8","8","16"
"cavelarb","8","8","16"
"Cvete999","8","8","16"
"divyaraju143","7","9","16"
"fastavery","6","10","16"
"GAIA2022","8","8","16"
"GenXboomer","9","7","16"
"Hfmas11","9","7","16"
"hoseinmaghsoodi","9","7","16"
"IvanKononov","9","7","16"
"jokerok77","7","9","16"
"kingrick1000","6","10","16"
"lucschaak","9","7","16"
"Madiyar_Rakhmanov08","8","8","16"
"nightcarpenter","8","8","16"
"O123654","8","8","16"
"rajesh7421-google","7","9","16"
"rashmikarizwan","6","10","16"
"Roman2206","8","8","16"
"TnTZ8zhQ","7","9","16"
"Ugochukwu_Jeffrey","8","8","16"
"ulalacah","8","8","16"
"vlad_salvia","9","7","16"
"ziv420","8","8","16"
"Advikhccs","7","8","15"
"anand1m","9","6","15"
"Andrea_Bartoli","7","8","15"
"Babik_Ayrapetyan","7","8","15"
"Bmisha2691","8","7","15"
"Cangrejo7","7","8","15"
"carlonvomdach","8","7","15"
"chellic22450","6","9","15"
"Davidka7-01_14","7","8","15"
"Dustin_Hermann2006","7","8","15"
"FfgmK","8","7","15"
"GovindPSuthan","8","7","15"
"GranFaraonI","9","6","15"
"Heenamohammad","8","7","15"
"iindu","7","8","15"
"lufreco64","8","7","15"
"mamik","8","7","15"
"naguali","7","8","15"
"ole7352","8","7","15"
"PhilipAlbion","8","7","15"
"RAZBADAS","7","8","15"
"shiva_7836","7","8","15"
"skalagoni","8","7","15"
"Sturpidly","9","6","15"
"sussasun","7","8","15"
"Tarektarek","6","9","15"
"vakaswathy","7","8","15"
"vakhtang55","9","6","15"
"Vena","7","8","15"
"volod_magmel","7","8","15"
"Will300","8","7","15"
"abderrahmene29","8","6","14"
"AleksandarSrbija","7","7","14"
"andolu","7","7","14"
"blackabou","8","6","14"
"Boyeolad","7","7","14"
"Claudinet2020","7","7","14"
"Elone_Boy","8","6","14"
"Ercof","5","9","14"
