"player","white_games","black_games","total"
"georg-stamoulakis","47","11","58"
"MACKEIHAN_1974","20","33","53"
"SchwabenLiga","32","19","51"
"Katrina_Weber","24","25","49"
"HyoshinFelipe15","20","22","42"
"PolishEngland","16","20","36"
"htmlsqlcssdatnet","15","17","32"
"Violinkepler","17","15","32"
"AARYAVYOGESH","13","15","28"
"GuineaBot","12","13","25"
"aRJUNg2020","13","11","24"
"Catastrophist81","9","15","24"
"mariuscristian221","11","11","22"
"Flowol1210","13","7","20"
"Starcat004","10","10","20"
"GABRINATOR","8","11","19"
"Altaez1969","16","2","18"
"EngPabloHenry","8","10","18"
"GLASAOU","7","10","17"
"hmtnl","7","10","17"
"Alitahir_youtube1452","13","3","16"
"DragoniousMonk","8","8","16"
"mefisto13","8","8","16"
"den7778","4","11","15"
"FunkyMonkeyBabys","8","7","15"
"MaxRB","7","8","15"
"wannabegmonce","9","6","15"
"Agent32","5","9","14"
"johnchess2","7","7","14"
"Sabsol","6","8","14"
"udomlya69rus","7","7","14"
"BlueSkyBlue","6","7","13"
"DavidYork21","7","6","13"
"Ditto","5","8","13"
"Manolete111","7","6","13"
"Roykliesing","8","5","13"
"AndregisCezarotto","7","5","12"
"davidc2022","4","8","12"
"rajuppi","11","1","12"
"warriorajedrez","5","7","12"
"espartano68","6","5","11"
"gudmi","4","7","11"
"serpanteen","6","5","11"
"vsevolod_lag","6","5","11"
"APC_lub","4","6","10"
"Cub1cl3z2753","6","4","10"
"PedjaKonobar","5","5","10"
"pescuderod","8","2","10"
"Pierrotlefou56","7","3","10"
"SugarDaddy64","6","4","10"
"tomratd","8","2","10"
"CarlosERestrepo","4","5","9"
"chess-mag","5","4","9"
"DoiDoiC","5","4","9"
"gborges0727","4","5","9"
"gushol","4","5","9"
"mahatma09","3","6","9"
"O-DogsWrath","4","5","9"
"aboAlaa8979","4","4","8"
"GalinaGoloshubova","4","4","8"
"garylarsen","3","5","8"
"general2134","4","4","8"
"Grootmeestertje123","5","3","8"
"imperfect75","4","4","8"
"juscy","4","4","8"
"KirichenkoTonya","1","7","8"
"metalkender","3","5","8"
"OliverJCarpenter","5","3","8"
"RubenMiranda","4","4","8"
"Sevilla00","4","4","8"
"Sjakkerfortsattmoro","4","4","8"
"ZhanPj","4","4","8"
"balitus","6","1","7"
"BatuhanAkgul","3","4","7"
"Blackermj","4","3","7"
"BryceRyanWachira","4","3","7"
