"player","white_games","black_games","total"
"maia1","51","95","146"
"Nikitosikbot","68","61","129"
"maia5","61","66","127"
"lnp04","63","61","124"
"robertsonb","51","50","101"
"chesscycle9","48","48","96"
"maia9","44","52","96"
"camilloxx","46","47","93"
"Odineo2000","45","48","93"
"virus2023","47","46","93"
"bsarmiento010","46","44","90"
"Turbo11798","43","45","88"
"hadiTNT","43","43","86"
"Kkleviss","41","42","83"
"Subok","40","42","82"
"gabcas","40","41","81"
"Nico_Ku_666","39","42","81"
"Endgee","40","40","80"
"maxii1000","37","43","80"
"currentlygay","39","39","78"
"d8sn9sm1s","39","39","78"
"chesss101","38","39","77"
"Rocki416","37","40","77"
"TravisEtienne","38","39","77"
"Xuan11111","38","39","77"
"C5ENJOYERRR","38","38","76"
"gumisteli","37","39","76"
"technokiwi0","37","39","76"
"sillychina","38","37","75"
"Aleksandr0755","37","37","74"
"Antonio-CSA","38","36","74"
"psethu","38","35","73"
"sezeren","36","37","73"
"amerof1","35","37","72"
"lw167","36","36","72"
"cengizhanbu","32","39","71"
"Sasa_9","37","34","71"
"sonar2015","37","34","71"
"VanSaanenMarius","35","36","71"
"koldun99LVL","34","36","70"
"Tayebdz23","34","35","69"
"Yory21","35","34","69"
"aasvayuj","34","34","68"
"alexander7834","34","34","68"
"bickjsuresh","35","33","68"
"SergeyPlat","33","35","68"
"valdecir10","34","34","68"
"Voronsky","34","34","68"
"Kadhir_sk18","33","34","67"
"AlexShemyrev","29","37","66"
"Andrmat","34","32","66"
"angeldelcielo","33","33","66"
"BW7","34","32","66"
"calin79","33","33","66"
"CHAVDAROV_2020","34","32","66"
"ferchessburgos","33","33","66"
"sich69","33","33","66"
"wydra2345","31","35","66"
"ESAND","35","29","64"
"Hilleberg","31","33","64"
"HR2452539","30","34","64"
"a_roz","31","32","63"
"murando2","32","31","63"
"philidoronsteroids","31","32","63"
"vgiovetti","32","31","63"
"boniotokonio","33","29","62"
"Crosschecklondon","31","31","62"
"jamisback007","30","32","62"
"MorganBmgtow","31","31","62"
"Stinky-Olli","32","30","62"
"Alexander6090","29","32","61"
"batouti","29","32","61"
"Gastby07","31","30","61"
"Olimjon79","30","31","61"
"Quan2016","32","29","61"
"V_Zahorski","30","31","61"
"Alza27","32","28","60"
"barbaralusha","29","31","60"
"localho","29","31","60"
"May27cha","30","30","60"
"nukinho","30","30","60"
"scaccofed","32","28","60"
"sleepyhallow","31","29","60"
"Hkfry","29","30","59"
"Lisvinchuk_Fedor","31","28","59"
"milad_riahi","28","31","59"
"AMihail56","28","30","58"
"charan408","30","28","58"
"Cronos79","27","31","58"
"gregagregus","28","30","58"
"Iatroman","29","29","58"
"ittop","30","28","58"
"jamiad","29","29","58"
"landimexx","30","28","58"
"maggolini","28","30","58"
"miryS12345","29","29","58"
"Mon_61","29","29","58"
"Bened66","29","28","57"
"Chef_Matthieu","28","29","57"
"Dragangane","30","27","57"
"Dronald","28","29","57"
"futurfiloharakotobe","31","26","57"
"LucaDegliScacchi","29","28","57"
"Marat_2016","28","29","57"
"NoWayForLove","30","27","57"
"World2V","28","29","57"
"Ahmederhan","27","29","56"
"aleksbas","28","28","56"
"berniealconera","28","28","56"
"dsagar18","4","52","56"
"gehfd","29","27","56"
"jmag70","28","28","56"
"Marnix1977","29","27","56"
"AkunMainan","28","27","55"
"anatolii50","26","29","55"
"byd-114514","28","27","55"
"CarlosArthur1","26","29","55"
"ric4io","28","27","55"
"vaserman63","27","28","55"
"Voidhead27","27","28","55"
"Wczas","27","28","55"
"Anthony35h","26","28","54"
"BudziKon","25","29","54"
"Himars109","26","28","54"
"JurijSemenov","29","25","54"
"Maten001","28","26","54"
"Paolo_Cazzinfrigo_II","27","27","54"
"pekait","27","27","54"
"Rosencrantz0901","28","26","54"
"thecathaus","28","26","54"
"adekusara","27","26","53"
"adhamsabary","26","27","53"
"albert0750","26","27","53"
"ALEC0628","26","27","53"
"AlexisOrhan","27","26","53"
"alperengulten","27","26","53"
"Artur_G13","26","27","53"
"cha-cha-cha-qui","27","26","53"
"Jeroru","16","37","53"
"Kirill_Kochetov","52","1","53"
"noobieBlunder","27","26","53"
"rana_eridani","26","27","53"
"Roofer91","23","30","53"
"sepehrrrr","26","27","53"
"sergik19622004","27","26","53"
"SoyIngestingLiberal","28","25","53"
"valtori","27","26","53"
"Vasilev_Artem","1","52","53"
"zgrcsknkmngl","27","26","53"
"AdamAisy16","24","28","52"
"ChrisZog81","26","26","52"
"Crni1957","27","25","52"
"Fijenu","27","25","52"
"Gregzorus","26","26","52"
"inggo_gutoyo","28","24","52"
"knights702","26","26","52"
"leOn-SeAl9","26","26","52"
"mambanegra10","25","27","52"
"Mayorcas","26","26","52"
"neurobasis","27","25","52"
"Oneil23","24","28","52"
"oylesinesatranc","25","27","52"
"phm54110","25","27","52"
"ron2491","26","26","52"
"royalsatan1","26","26","52"
"sumang_blacksuit","26","26","52"
"Tulius_Venenus","26","26","52"
"udaypathak","27","25","52"
"ZEZITA","26","26","52"
"Andreika1966","24","27","51"
"bekiruyar1953","28","23","51"
"carlosjesus96","24","27","51"
"chessandbowling","24","27","51"
"emericzz","25","26","51"
"Hovestadt","26","25","51"
"Ingvar73","34","17","51"
"Jodajoda","27","24","51"
"matkabylov75","27","24","51"
"Mohan-101","23","28","51"
"ramin66mobini","26","25","51"
"tomdav","26","25","51"
"Uniqueacies","27","24","51"
"vsstejas_777","25","26","51"
"WarrenMoon","24","27","51"
"Anter85","21","29","50"
"chika25","25","25","50"
"forbiddencheapos","26","24","50"
"johnmccarty","25","25","50"
"nico76899","25","25","50"
"o_Dinesh_o","26","24","50"
"reynaldo_solorzano","26","24","50"
"sergo2304","25","25","50"
"Shakerza","25","25","50"
"viktor_lalka","25","25","50"
"VYM123","25","25","50"
"Yanlaris","24","26","50"
"Celium","25","24","49"
"DhiyaUL","23","26","49"
"DRKProdigy999","26","23","49"
"iiiU","24","25","49"
"Jreischess","24","25","49"
"kiksed44","22","27","49"
"Latsch19","26","23","49"
"MrBlue360","25","24","49"
"MuratShurat","24","25","49"
"Olete75","23","26","49"
"Pachala","25","24","49"
"Total-Ingratitude","24","25","49"
"Virgil5","23","26","49"
"YourMaChessty-07","27","22","49"
"Aid0202","25","23","48"
"Ch_76","23","25","48"
"dalarim","25","23","48"
"Ghar1122","24","24","48"
"Kasparovnegro","24","24","48"
"Kehinde4885","23","25","48"
"Kostya_Od","24","24","48"
"Lifeline304","24","24","48"
"Ligole","24","24","48"
"liussinamohina","24","24","48"
"MajidBen","26","22","48"
"marjanmarjan","37","11","48"
"mary_susy_mm","23","25","48"
"mieczyslaw1964rr","22","26","48"
"Natalya_1951","24","24","48"
"Neith-51","24","24","48"
"nurettinileri190","24","24","48"
"revl1995","24","24","48"
"Steve-58","23","25","48"
"UZY_1903","24","24","48"
"Violent123","23","25","48"
"vvel23","24","24","48"
"xxyzxx","25","23","48"
"z_vasiliy","24","24","48"
"Zuppa_di_zucca","25","23","48"
"ahmed1mamdoh","24","23","47"
"andphi","22","25","47"
"atyaa93","22","25","47"
"BIGend","24","23","47"
"Enrico1693","24","23","47"
"erzi1911","23","24","47"
"febek","23","24","47"
"gandhicj","24","23","47"
"goodxray","24","23","47"
"Hyesnt","24","23","47"
"MIJAIL_THAL","23","24","47"
"Mon2456","25","22","47"
"nytrre","24","23","47"
"Orhan78","22","25","47"
"PiaZolla","23","24","47"
"Rakhiba","23","24","47"
"sauroo333","23","24","47"
"shalala07","23","24","47"
"srx700xxx","22","25","47"
"tarunsisodia","24","23","47"
"tchopko","24","23","47"
"Thunder600","24","23","47"
"webbjames","22","25","47"
"baby5555","23","23","46"
"bdev","21","25","46"
"DonnyRainboe","25","21","46"
"elias_D35","25","21","46"
"gabriel68","22","24","46"
"hami35","24","22","46"
"ImreChess","24","22","46"
"Mejbil70","22","24","46"
"MLasker","21","25","46"
"moloch_bg","23","23","46"
"mumia50","23","23","46"
"nagapadma","21","25","46"
"oitcdu5e","23","23","46"
"PARLIAMENTO","24","22","46"
"philipmumba","24","22","46"
"TENGGO67","20","26","46"
"TNTshka","23","23","46"
"vsenikizanyati","23","23","46"
"alimx","25","20","45"
"Arbalest163","22","23","45"
"Artystoteles","22","23","45"
"Ashutosian","23","22","45"
"Bqesty","22","23","45"
"Crixus2023","23","22","45"
"david17934","21","24","45"
"flordeghetto","22","23","45"
"Gedau","22","23","45"
"Harry1974","23","22","45"
"harshihr","24","21","45"
"IgorG1963","22","23","45"
"Internetronin11","24","21","45"
"juanalvarezme","23","22","45"
"Kajubi","21","24","45"
"kamikaaze","23","22","45"
"Kirudha","21","24","45"
"kkpraveenkumar","22","23","45"
"laurentboye","24","21","45"
"mafer2605","23","22","45"
"Midstone","22","23","45"
"MisraynMartins","22","23","45"
"Moby_huge","22","23","45"
"Muha076","21","24","45"
"nowygracz1","23","22","45"
"PakLieLianC26","22","23","45"
"Pawlii","23","22","45"
"Primachess78","24","21","45"
"rneumann","24","21","45"
"robotarobota","21","24","45"
"spawonito","23","22","45"
"stinky0705","22","23","45"
"xJoox","21","24","45"
"zoran59","25","20","45"
"aboabaas","23","21","44"
"Aiceclaw","22","22","44"
"Alan1109","22","22","44"
"annoni","23","21","44"
"Charanjeetsingh1977","21","23","44"
"David1352tb","23","21","44"
"JuneCapio","21","23","44"
"Kacperek","22","22","44"
"kdsingh","22","22","44"
"Kobe318","21","23","44"
"luna_insanity","22","22","44"
"maciusN","22","22","44"
"michailkerobyan195m","19","25","44"
"Nlveliz","23","21","44"
"Occhessadvanced","22","22","44"
"oskolmater","22","22","44"
"OttarStensvold","21","23","44"
"Pamter","23","21","44"
"ppraveeneee","20","24","44"
"Romax1972","21","23","44"
"said3101","23","21","44"
"sebastiano1956","22","22","44"
"Skyking_skyking","21","23","44"
"Sleiman58","20","24","44"
"smallgnomo","23","21","44"
"solitario6","22","22","44"
"stephgun","22","22","44"
"trapvin","23","21","44"
"AbdelnasserAbdella","22","21","43"
"AlikLuka1","23","20","43"
"Bovsunovskyi_Artem","22","21","43"
"BuiDaiQuang","21","22","43"
"danoswore2000","22","21","43"
"deepak12321","20","23","43"
"IbragimovNurdin","22","21","43"
"improbable66","22","21","43"
"jari53","21","22","43"
"k12345678910111213","24","19","43"
"Kindrat","21","22","43"
"lt123lkj","21","22","43"
"madjidore","23","20","43"
"milanchezza","21","22","43"
"MKabacabb","22","21","43"
"NearMxgic","22","21","43"
"Nedski","21","22","43"
"nikolaspasojevic","21","22","43"
"NonTactical","22","21","43"
"overtheedge13","22","21","43"
"Posadec","21","22","43"
"Precious_Mica","21","22","43"
"raf1950","21","22","43"
"RV-ORBEC","22","21","43"
"s1_s4","21","22","43"
"SUHABEGDEDE","21","22","43"
"yazokulu","23","20","43"
"Zedou57","22","21","43"
"AbdelBaset1971","22","20","42"
"Alex_Eins_A","20","22","42"
"ammarsvg","21","21","42"
"Bauberger15","22","20","42"
"bounadeem","21","21","42"
"cebostory","22","20","42"
"cogino","21","21","42"
"Cukanova","22","20","42"
"DenisDurand","21","21","42"
"dokoko1","22","20","42"
"Ekliptik39","20","22","42"
"FABIANO987","21","21","42"
"Francesco1973","21","21","42"
"frantx","20","22","42"
"GaburiEri","20","22","42"
"Gilmergrc","21","21","42"
"hasan-pshik","22","20","42"
"JFinelli","20","22","42"
"M_avsarchess","23","19","42"
"M36oses","21","21","42"
"maralider","22","20","42"
"Motorradwanderer","20","22","42"
"mysty_chess_cuber","20","22","42"
"nayef_001","20","22","42"
"PagRai2023","19","23","42"
"pantofeller","21","21","42"
"petrovz","22","20","42"
"PoisonedTrick","22","20","42"
"PulcoCitron","22","20","42"
"putzkk","19","23","42"
"Q-hasnotif88","21","21","42"
"Rafa_SUPER","19","23","42"
"Ryu9090","21","21","42"
"schachwillie","30","12","42"
"shfr3","23","19","42"
"SoMan14","21","21","42"
"Ustyugov60","20","22","42"
"Vinothrajselva","20","22","42"
"white1949","21","21","42"
"Wilhelm_23","22","20","42"
"Alexseq1539","21","20","41"
"alfresco","22","19","41"
"andpet","21","20","41"
"Attila-Fischer","23","18","41"
"Benben1698","20","21","41"
"Blackhawk1973","21","20","41"
"BROSTEVEN17","19","22","41"
"chamschams","20","21","41"
"Chthulhu","21","20","41"
"DSchmitt","19","22","41"
"Elkanov_Azamat","20","21","41"
"Ethmav","22","19","41"
"fhovikoff","20","21","41"
"Fikar82","21","20","41"
"gantulga82","20","21","41"
"Hazama13","22","19","41"
"Hunsruecker","21","20","41"
"INFLAMABLE777","21","20","41"
"james59","19","22","41"
"jbr63","21","20","41"
"KJB2002","21","20","41"
"KMCC01","23","18","41"
"KQRBNPkqrbnp","22","19","41"
"LAVOIREMODERNEPORTE1","20","21","41"
"Licmallas","19","22","41"
"Luma26","20","21","41"
"malefize2","19","22","41"
"max2842","20","21","41"
"MejiasLuis","21","20","41"
"Melblack","23","18","41"
"michele31795","21","20","41"
"MickEsEE","20","21","41"
"Moira88","20","21","41"
"momoshiki228","22","19","41"
"monpierro","21","20","41"
"Nephandi","20","21","41"
"Nicofunforchess","20","21","41"
"NISHATILMADROY","21","20","41"
"PANKAJ0401","19","22","41"
"Pascal3164","22","19","41"
"Pavel1503","20","21","41"
"Phanipk112","21","20","41"
"rudeless","21","20","41"
"Saida43","19","22","41"
"steve_pathnem","21","20","41"
"tomvomwom","21","20","41"
"Towhid380","20","21","41"
"WatchSwatchWatch","20","21","41"
"Youyeagy","21","20","41"
"YURII_Rus_1","20","21","41"
"ZanoxBoS","21","20","41"
"Zubalich","20","21","41"
"abacus31415","22","18","40"
"Anatoli1953","20","20","40"
"Anton755","21","19","40"
"black_stone_tas000","19","21","40"
"blauerelefant","21","19","40"
"by61","22","18","40"
"Congratulate","20","20","40"
"CppnObvious","21","19","40"
"CS-7","21","19","40"
"Dr_Obada2000","19","21","40"
"enyx","20","20","40"
"exmar_lovo","20","20","40"
"guynamo","20","20","40"
"jairocordioli","19","21","40"
"johngoem","21","19","40"
"josantonio17","21","19","40"
"JoseteChess","20","20","40"
"jpg-bot","21","19","40"
"Khaled99789","20","20","40"
"kiko-K-kiko","20","20","40"
"kpabi","20","20","40"
"kyriosapostolos","19","21","40"
"LesvosGR","20","20","40"
"lorenzb59","20","20","40"
"Maha260486","20","20","40"
"MairaKarmanova","18","22","40"
"Marcosultymos","20","20","40"
