"player","white_games","black_games","total"
"hajeko","404","402","806"
"Slivoviy","285","283","568"
"Shinichi02","262","268","530"
"Aka27Aslan","221","210","431"
"J-aan","291","140","431"
"Leeuw7","202","204","406"
"SUTHEY2","185","178","363"
"hadi_gari","177","179","356"
"HayirdirSenNeyeBaktn","177","177","354"
"animeskan","160","167","327"
"TitoKationi","116","115","231"
"Foolinaswimmingpool","114","111","225"
"afanoffun","113","111","224"
"FurkanKlcceken","113","110","223"
"Aram-e4","108","104","212"
"gmud","104","106","210"
"snaip888","99","110","209"
"Mostafov22","101","106","207"
"roblensky","105","99","204"
"heallan","89","113","202"
"arqcap","100","101","201"
"CanIWinYouOrNot","100","101","201"
"zicote","99","100","199"
"cinekk5","97","101","198"
"alzz","100","95","195"
"Mikkel_Vinh","95","96","191"
"tdbangz","91","93","184"
"inar921","94","89","183"
"lishcp","91","90","181"
"Mussa09-09","92","87","179"
"dddd345","86","88","174"
"hemant_69","85","88","173"
"Formidablenights2009","85","85","170"
"RubbleChess","82","81","163"
"lousyfortres2","78","80","158"
"okish","77","80","157"
"srcapivara","80","77","157"
"ASORUSSYA","77","79","156"
"borgogniels","76","78","154"
"OjaiJoao","76","77","153"
"ferrari10","77","75","152"
"jblick","73","77","150"
"WAYTOIMPROVERESIDENT","74","76","150"
"qqqwwerr","72","73","145"
"Joaozinho","71","71","142"
"punitaswal","69","72","141"
"PaSHaSaltanov11","71","69","140"
"DustinDeWind","69","70","139"
"RXERXERXE","68","70","138"
"thegamecris","67","71","138"
"wluke1080","66","70","136"
"Abs001Presh","66","65","131"
"TANES37","69","62","131"
"ChorniyVoron","62","68","130"
"Bashirrabiu777","64","62","126"
"ljdklghfd","63","63","126"
"marky101","61","64","125"
"Fitimiti123","61","62","123"
"Mharcky","61","62","123"
"NinjaTurtles482","62","61","123"
"arguman","63","59","122"
"mukarrir","59","60","119"
"LimoPreacherman","61","57","118"
"RodrigoMarrou","58","58","116"
"sherlock2001holmes","58","58","116"
"Chommy","57","56","113"
"Isak2011","58","55","113"
"madanmardi2056","58","54","112"
"MrMesut","55","57","112"
"dillaMo","57","54","111"
"luco15","54","57","111"
"Youthcoaching","55","56","111"
"KDMFan","55","55","110"
"TimoBjornson","56","54","110"
"ChessCamp96","55","54","109"
"TurkOglan27","55","53","108"
"Good_mistake","55","52","107"
"Maks123chess321","55","50","105"
"Plart4444","52","52","104"
"everconqueror","49","51","100"
"ujustgotrektbro","48","52","100"
"ErickArquinego5Qui","51","48","99"
"Gilevich","49","50","99"
"unquoted","51","48","99"
"ABOLFAZ14","49","49","98"
"SecantFX","51","47","98"
"Ivan_arse11","46","50","96"
"ludwigferreras2013","46","50","96"
"NoobyChessPlayer","49","47","96"
"IBattousaiI","47","48","95"
"QGD_07","47","48","95"
"Georg_2007","47","47","94"
"Iwonakitka","93","1","94"
"JustTryAgain","48","46","94"
"saim255248","47","47","94"
"aflickering","46","47","93"
"AnShen","46","47","93"
"freestyl","48","45","93"
"CHESSSKY10","46","46","92"
"GeparRd","47","45","92"
"MagnusCarlsen2822","45","47","92"
